eeg-P3,eeg-C3,eeg-F3,eeg-Fz,eeg-F4,eeg-C4,eeg-P4,eeg-Cz,eeg-CM,eeg-A1,eeg-Fp1,eeg-Fp2,eeg-T3,eeg-T5,eeg-O1,eeg-O2,eeg-F7,eeg-F8,eeg-X1:ECG,eeg-A2,eeg-T6,eeg-T4,eeg-TRG,timestamp
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9774.2744140625,9847.7998046875,9834.0,-5203.232421875,20532.345703125,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9021.802734375,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9749.4248046875,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:15.971794
-775.5,-2056.505126953125,-1412.427978515625,-2979.73046875,-3446.07177734375,-177.91976928710938,-18.00714111328125,-1470.9420166015625,-14484.63671875,3369.548095703125,615.4944458007812,3560.2099609375,224.6949920654297,-1410.134521484375,2590.61181640625,1438.0743408203125,506.656005859375,596.4534301757812,-7.5,-5222.41162109375,774.496337890625,362.7409362792969,0.0,2025-06-10T20:24:15.975127
9830.099609375,9837.2998046875,9815.7001953125,9864.298828125,-9834.599609375,-9848.099609375,-9834.2998046875,9836.3994140625,-39496.76953125,9824.7001953125,9795.0009765625,9790.80078125,9856.19921875,9849.8994140625,9838.5,-9819.2998046875,9840.8994140625,-9821.400390625,-7.5,-9855.900390625,-9867.2998046875,-9847.7998046875,0.0,2025-06-10T20:24:15.978461
1497.9000244140625,3214.15234375,2395.2861328125,2714.81201171875,1786.062744140625,-1732.614013671875,-2567.518310546875,3545.2705078125,3285.17529296875,3038.530029296875,-552.7194213867188,-103.38502502441406,1318.99267578125,2524.474365234375,-666.2688598632812,-5515.265625,319.2503662109375,750.5122680664062,-6.300000190734863,-3843.64453125,-2428.883056640625,-1623.16796875,0.0,2025-06-10T20:24:15.981794
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6789.4482421875,30089.220703125,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,8757.6005859375,-9841.2001953125,9821.1005859375,-7.199999809265137,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:15.985127
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9765.5703125,9847.7998046875,9834.0,-5229.94970703125,20532.345703125,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9023.904296875,9819.0,-9841.2001953125,9821.1005859375,-6.900000095367432,9746.4169921875,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:15.988461
-763.7999877929688,-2051.4013671875,-1402.242919921875,-2986.052490234375,-3418.4599609375,-178.82139587402344,-19.507736206054688,-1453.8311767578125,-14484.63671875,3375.244873046875,597.2598266601562,3579.6318359375,228.6053466796875,-1402.9200439453125,2620.036865234375,1426.9869384765625,489.8375549316406,595.5542602539062,-7.199999809265137,-5242.86474609375,750.1051025390625,360.63720703125,0.0,2025-06-10T20:24:15.991794
9830.099609375,9837.2998046875,9815.7001953125,9864.298828125,-9834.599609375,-9848.099609375,-9834.2998046875,9836.3994140625,-39422.10546875,9824.7001953125,9795.0009765625,9790.80078125,9856.19921875,9849.8994140625,9838.5,-9819.2998046875,9840.8994140625,-9821.400390625,-7.5,-9855.900390625,-9867.2998046875,-9847.7998046875,0.0,2025-06-10T20:24:15.995127
1563.9000244140625,3254.3818359375,2457.295166015625,2798.80322265625,1873.0999755859375,-1732.3134765625,-2553.112548828125,3680.95751953125,3733.15380859375,3059.5185546875,-534.4847412109375,-84.85939025878906,1340.3492431640625,2568.06201171875,-565.3826904296875,-5459.5283203125,338.471435546875,750.81201171875,-6.599999904632568,-3846.3515625,-2433.701171875,-1624.069580078125,0.0,2025-06-10T20:24:15.998461
-9830.400390625,-9837.599609375,-9816.0,-9864.599609375,9834.2998046875,9847.7998046875,9834.0,-6744.119140625,30313.208984375,-9825.0,-9795.2998046875,-9791.099609375,-9856.5,-9850.2001953125,-9838.7998046875,8768.6875,-9841.2001953125,9821.1005859375,-6.599999904632568,9855.599609375,9866.9990234375,9847.4990234375,0.0,2025-06-10T20:24:16.001794
